No,SEKOLAH,Distance (Kilometer),,,,,,Lintang,Bujur,Alamat Jalan
,,Jakarta Timur,Jakarta Utara,Jakarta Barat,Jakarta Selatan,Jakarta Pusat,Kepulauan Seribu,,,
88,SMAN 74 JAKARTA,23,29.3,11.9,5.4,12.5,,-62.529.860,1.067.863.930,Jl. Dharma Putra XI
89,SMAN 75 JAKARTA,14.1,11.1,25.7,31.6,15.7,,-61.347.000,1.069.240.000,JL. TIPAR CAKUNG
90,SMAN 76 JAKARTA,9.3,10.2,37.4,31.4,16,,-61.722.000,1.069.314.000,JL. TIPAR CAKUNG JAKARTA TIMUR
91,SMAN 77 JAKARTA,10.3,4.8,25,19.5,5.9,,-61.753.000,1.068.662.000,JL. CEMPAKA PUTIH TENGAH 17
92,SMAN 78 JAKARTA,20,16.5,5.9,12.5,7,,-61.914.000,1.067.828.000,JL. BHAKTI IV/1 KOMP. PAJAK
93,SMAN 79 JAKARTA,8.7,11.8,22.5,9.4,6.7,,-62.222.000,1.068.380.000,JL. MENTENG PULO UJUNG
94,SMAN 8 JAKARTA,6.4,11.4,21,12.8,6.6,,-62.330.000,1.068.552.000,JL. TAMAN BUKIT DURI
95,SMAN 80 JAKARTA,15.3,4.9,19,25.7,10.4,,-61.423.000,1.068.715.000,JL. SUNTER KARYA SELATAN V
96,SMAN 81 JAKARTA,5.7,16.5,26.3,18,16.8,,-62.511.000,1.069.179.000,JL. KARTIKA EKAPAKSI KPAD JATIWARINGI KALIMALANG JAKARTA TIMUR
97,SMAN 82 JAKARTA,13.9,22.2,13.6,4.8,9.1,,-62.312.000,1.067.996.000,JL. DAHA II / 15A
98,SMAN 83 JAKARTA,11.7,7.9,26.1,30.5,16.3,,-61.561.000,1.069.274.000,JL. TIPAR CAKUNG
99,SMAN 84 JAKARTA,31.7,30,8.8,24.1,18.6,,-61.449.000,1.067.044.000,JL. PETA BARAT NO. 42
100,SMAN 85 JAKARTA,22,21.5,7,12.2,12.6,,-62.154.000,1.067.591.000,JL. SRENGSENG RAYA
101,SMAN 86 JAKARTA,26.4,37.8,17.3,10.2,16.1,,-62.622.000,1.067.613.000,Jl. Bintaro Permai IV No. 36
102,SMAN 87 JAKARTA,28.3,33.9,17.3,9.4,18.3,,-62.864.000,1.067.612.000,JL Mawar II
103,SMAN 88 JAKARTA,18.6,25,33.2,14.2,24.3,,-63.278.000,1.068.470.000,JL. SAWO
104,SMAN 89 JAKARTA,10.8,11.8,38.1,32.1,17.1,,-61.752.000,1.069.515.000,JL. KAYU TINGGI
105,SMAN 9 JAKARTA,9.3,14.9,22.5,14.2,14.4,,-62.587.000,1.068.815.000,"JL. SMU 9 HALIM PERDANA KUSUMA,JAKARTA TIMUR"
106,SMAN 90 JAKARTA,33.6,37.9,12.8,12,16.3,,-62.435.000,1.067.481.000,Jl. Sabar Petukangan`
107,SMAN 91 JAKARTA,6,18.6,28.1,19.8,17.8,,-62.389.000,1.069.328.000,JL.LEMBAH LONTAR
108,SMAN 92 JAKARTA,19.5,13,27.6,36.1,17.4,,-61.303.000,1.069.284.000,KOMP. PEMADAM KEBAKARAN
109,SMAN 93 JAKARTA,13.3,18.9,27,13,18.9,,-62.918.000,1.068.692.000,JL. RAYA BOGOR KOMP. PASWALPRES
110,SMAN 94 JAKARTA,32.2,25.7,9,26.1,20.3,,-61.639.000,1.066.898.000,JL. RAYA SEMANAN
111,SMAN 95 JAKARTA,41.6,32.1,11.7,26.9,15.6,,-61.263.000,1.067.039.000,JL. SATU MARET NO. 49
112,SMAN 96 JAKARTA,29.6,26.6,6.5,22,16,,-61.470.000,1.067.396.000,JL. JATI RAYA NO. 40
113,SMAN 97 JAKARTA,29.7,33.2,28.4,10.9,22.7,,-63.422.000,1.068.010.000,JL. BRIGIF 2 CIGANJUR
114,SMAN 98 JAKARTA,20,25,36.8,14.8,24.3,,-63.324.000,1.068.573.000,JL.JAHA NO. 1
115,SMAN 99 JAKARTA,21.7,27.3,43.1,16.6,26.3,,-63.425.000,1.068.729.000,JL.Cibubur II
116,SMAN RAGUNAN JAKARTA,22,27.4,28.2,10.9,19.4,,-63.054.000,1.068.269.000,JL. KOMPLEK GOR RAGUNAN
117,SMAN UNGGULAN M.H. THAMRIN,16,21.5,29.6,15.8,23.4,,-63.159.000,1.069.019.000,JL BAMBU WULUNG
